Ratio:0.333675, cor: -0.800047
Ratio:0.433675, cor: -0.801081
Ratio:0.533675, cor: -0.803407
Ratio:0.633675, cor: -0.801837
Ratio:0.733675, cor: -0.805417
Ratio:0.833675, cor: -0.805624
Ratio:0.933675, cor: -0.806215
Ratio:1.033675, cor: -0.806242
Ratio:1.133675, cor: -0.807648
Best ratio: 0.734, correlation: -0.800
