convert_factor:0.7	cor:-0.7126292542777345
convert_factor:1.1	cor:-0.5809778481569947
convert_factor:1.2	cor:-0.5819256986336689
convert_factor:1.4	cor:-0.560052461297583
convert_factor:1.4	cor:-0.5958927394480709
convert_factor:1.3	cor:-0.7233042869331255
convert_factor:2.1	cor:-0.6327276014542865
convert_factor:1.1	cor:-0.5899638895201299
convert_factor:1.5	cor:-0.6942209226949619
convert_factor:0.6	cor:-0.6842739336735195

0.60, 0.70, 1.10, 1.10, 1.20, 1.30, 1.40, 1.40, 1.50, 2.10, 
